# nside 64 NESTED
pix_id,ra_deg,dec_deg,probability
43268,212.64705882352942,-52.02972741646417,2.741725333096754e-05
43269,213.75,-51.25580694880492,4.04093494728433e-05
43270,212.01923076923077,-51.25580694880492,4.2739416281836305e-05
43271,213.11320754716982,-50.48004426244296,5.9636743730586865e-05
43272,209.11764705882354,-52.02972741646417,3.0454014862963606e-05
43273,210.28846153846155,-51.25580694880492,4.410287446082354e-05
43274,208.55769230769232,-51.25580694880492,4.50316137054673e-05
43275,209.71698113207546,-50.48004426244296,6.962322533244803e-05
43276,211.4150943396226,-50.48004426244296,6.542230294295066e-05
43277,212.5,-49.702390326630706,8.931423988470295e-05
43278,210.83333333333334,-49.702390326630706,9.54645727881748e-05
43279,211.9090909090909,-48.92279516024732,0.00011175851983690976
43280,214.811320754717,-50.48004426244296,5.317870814040008e-05
43281,215.83333333333334,-49.702390326630706,7.143553312138772e-05
43282,214.16666666666666,-49.702390326630706,8.088542660046754e-05
43283,215.18181818181822,-48.92279516024732,9.813243547717602e-05
43284,216.8181818181818,-48.92279516024732,9.037845926047888e-05
43285,217.7678571428571,-48.1412077943603,0.0001078557966768448
43286,216.16071428571428,-48.1412077943603,0.00011565763497602472
43287,217.10526315789474,-47.357576233198984,0.0001517617752972501
43288,213.54545454545453,-48.92279516024732,0.00010512396127538815
43289,214.55357142857144,-48.1412077943603,0.00012623519222836039
43290,212.94642857142856,-48.1412077943603,0.00013845956251625069
43291,213.94736842105263,-47.357576233198984,0.0001842584509175749
43292,215.5263157894737,-47.357576233198984,0.00016731769109349016
43293,216.4655172413793,-46.5718474134496,0.00021543831680668612
43294,214.91379310344828,-46.5718474134496,0.00024241787927652177
43295,215.84745762711864,-45.783967161775024,0.0003492121701564739
43296,208.0188679245283,-50.48004426244296,7.199925056255044e-05
43297,209.16666666666669,-49.702390326630706,9.912552834412226e-05
43298,207.5,-49.702390326630706,0.0001011291170339969
43299,208.63636363636365,-48.92279516024732,0.00012410167194921033
43300,210.27272727272725,-48.92279516024732,0.0001181741600495086
43301,211.33928571428572,-48.1412077943603,0.00015046012002178366
43302,209.73214285714286,-48.1412077943603,0.00016129228582694984
43303,210.78947368421055,-47.357576233198984,0.00021688024191969545
43304,207.0,-48.92279516024732,0.00012915631683986783
43305,208.12499999999997,-48.1412077943603,0.00017135100023692786
43306,206.51785714285714,-48.1412077943603,0.00018315438764492987
43307,207.63157894736844,-47.357576233198984,0.0002506729952321694
43308,209.21052631578948,-47.357576233198984,0.00023311774447942702
